scenario,building,city,year,occupied_hours,unmet_hours,annual_kwh,peak_kw,baseline_peak_year,baseline_peak_kw,ulh_ratio,ulh_percent,stress_index,stress_per_1000kwh,peak_ratio
CORDEX_CMIP5_REMO2015_rcp85,office,Los_Angeles,2044,2349,319.166666666668,381294.4444444749,160.55522284832998,2025,214.10830628208268,0.1358734213140349,13.58734213140349,0.0008370608890766199,0.8370608890766199,0.7498785340761243
CORDEX_CMIP5_REMO2015_rcp85,office,Los_Angeles,2045,2349,325.1666666666687,391802.7777778091,159.33296423580848,2025,214.10830628208268,0.13842769973038258,13.842769973038257,0.0008299243525299105,0.8299243525299106,0.744169934378403
CORDEX_CMIP5_REMO2015_rcp85,office,Los_Angeles,2046,2349,312.0000000000005,387100.00000003097,160.03442676591322,2025,214.10830628208268,0.13282247765006408,13.282247765006408,0.0008059932833892419,0.8059932833892419,0.7474461385681676
CORDEX_CMIP5_REMO2015_rcp85,office,Los_Angeles,2047,2349,206.16666666666367,372463.8888889187,160.7241619666036,2025,214.10830628208268,0.08776784447282404,8.776784447282404,0.0005535212212965686,0.5535212212965686,0.7506675698739743
CORDEX_CMIP5_REMO2015_rcp85,office,Los_Angeles,2048,2349,297.3333333333322,397169.4444444762,157.36298477689243,2025,214.10830628208268,0.12657868596565866,12.657868596565866,0.0007486309369775776,0.7486309369775775,0.7349690794787307
CORDEX_CMIP5_REMO2015_rcp85,office,Los_Angeles,2049,2349,222.8333333333294,370950.0000000297,158.9385465483455,2025,214.10830628208268,0.09486306229601081,9.48630622960108,0.0006007098890236192,0.6007098890236192,0.7423277933876498
CORDEX_CMIP5_REMO2015_rcp85,office,Los_Angeles,2050,2349,370.1666666666738,392375.0000000314,166.0830604782814,2025,214.10830628208268,0.15758478785299013,15.758478785299012,0.0009434002336199916,0.9434002336199916,0.7756964844674025
CORDEX_CMIP5_REMO2015_rcp85,office,Los_Angeles,2051,2349,241.499999999995,381663.8888889194,159.6103503018677,2025,214.10830628208268,0.10280970625797999,10.280970625797998,0.0006327556969118499,0.6327556969118499,0.7454654752701878
CORDEX_CMIP5_REMO2015_rcp85,office,Los_Angeles,2052,2349,358.8333333333392,395738.8888889205,160.5695268276336,2025,214.10830628208268,0.15276003973322233,15.276003973322233,0.0009067426614068747,0.9067426614068747,0.7499453412895015
CORDEX_CMIP5_REMO2015_rcp85,office,Los_Angeles,2053,2349,243.99999999999488,372608.3333333632,159.49683037556335,2025,214.10830628208268,0.10387398893145802,10.387398893145802,0.0006548431105047087,0.6548431105047087,0.7449352766605422
CORDEX_CMIP5_REMO2015_rcp85,office,Los_Angeles,2054,2349,252.8333333333277,387350.00000003097,164.62473654834548,2025,214.10830628208268,0.10763445437774699,10.763445437774699,0.0006527257863258229,0.6527257863258229,0.7688853338153834
CORDEX_CMIP5_REMO2015_rcp85,office,Los_Angeles,2055,2349,380.83333333334167,404622.2222222546,160.03442676591322,2025,214.10830628208268,0.16212572725983043,16.212572725983044,0.0009412071616871157,0.9412071616871157,0.7474461385681676
CORDEX_CMIP5_REMO2015_rcp85,office,Los_Angeles,2056,2349,470.6666666666852,415452.7777778111,162.7322005540574,2025,214.10830628208268,0.20036895132681362,20.036895132681362,0.0011329005168390115,1.1329005168390116,0.7600461812054202
CORDEX_CMIP5_REMO2015_rcp85,office,Los_Angeles,2057,2349,368.1666666666736,397483.3333333652,164.72501936805978,2025,214.10830628208268,0.1567333617142076,15.67333617142076,0.0009262442869721433,0.9262442869721433,0.7693537080763154
CORDEX_CMIP5_REMO2015_rcp85,office,Los_Angeles,2058,2349,504.166666666689,427922.2222222565,160.5695268276336,2025,214.10830628208268,0.21463033915142146,21.463033915142145,0.0011781736037181829,1.178173603718183,0.7499453412895015
CORDEX_CMIP5_REMO2015_rcp85,office,Los_Angeles,2059,2349,366.00000000000665,402583.3333333655,162.7322005540574,2025,214.10830628208268,0.15581098339719313,15.581098339719313,0.000909128544814682,0.909128544814682,0.7600461812054202
CORDEX_CMIP5_REMO2015_rcp85,office,Los_Angeles,2060,2349,240.49999999999503,381855.5555555861,160.5695268276336,2025,214.10830628208268,0.10238399318858878,10.238399318858878,0.0006298193034014554,0.6298193034014554,0.7499453412895015
CORDEX_CMIP5_REMO2015_rcp85,office,Los_Angeles,2061,2349,373.5000000000075,399247.22222225415,163.2345614604404,2025,214.10830628208268,0.15900383141762772,15.900383141762772,0.000935510578936693,0.9355105789366931,0.7623924746076067
CORDEX_CMIP5_REMO2015_rcp85,office,Los_Angeles,2062,2349,391.1666666666762,400688.88888892095,161.16365000999832,2025,214.10830628208268,0.16652476231020696,16.652476231020696,0.0009762353724141212,0.9762353724141213,0.7527202134683602
CORDEX_CMIP5_REMO2015_rcp85,office,Los_Angeles,2063,2349,419.8333333333461,392586.1111111425,163.4141763046221,2025,214.10830628208268,0.17872853696609028,17.872853696609027,0.0010694044477148857,1.0694044477148856,0.7632313717400937
CORDEX_CMIP5_REMO2015_rcp85,office,Los_Angeles,2064,2349,383.16666666667527,408391.66666669934,161.14697434990464,2025,214.10830628208268,0.16311905775507674,16.311905775507675,0.000938233313608206,0.938233313608206,0.7526423292405913
CORDEX_CMIP5_REMO2015_rcp85,office,Los_Angeles,2065,2349,343.3333333333374,388169.4444444755,161.23683467171423,2025,214.10830628208268,0.14616148715765748,14.616148715765748,0.0008844934557502205,0.8844934557502205,0.7530620248767391
