scenario,building,city,climate_type,decade,score_family,year_start,year_end,n_years,family_score_mean,family_score_sd,max_breached_component_count,component_metrics,interpretation_note,decade_midpoint,decade_order
CORDEX_CMIP5_REMO2015_rcp85,office,Montreal,Dfb,2075-2084,habitability,2075,2084,10,1.3551158855413667,0.9306461196063314,1,annual_edh_c_h; daily_edh_exceedance_days; maximum_daily_edh_k_h; maximum_delta_t_k; peak_operative_temperature_c,,2079.5,5
CORDEX_CMIP5_REMO2015_rcp85,office,Montreal,Dfb,2075-2084,operational_adequacy,2075,2084,10,-0.6039429915388949,0.6561289192211945,0,cooling_peak_demand_kw; cooling_setpoint_not_met_occupied_hours; heating_peak_demand_kw; heating_unmet_hours,,2079.5,5
CORDEX_CMIP5_REMO2015_rcp85,office,Montreal,Dfb,2085-2094,habitability,2085,2094,10,1.3774963829300666,0.8949494846954572,0,annual_edh_c_h; daily_edh_exceedance_days; maximum_daily_edh_k_h; maximum_delta_t_k; peak_operative_temperature_c,,2089.5,6
CORDEX_CMIP5_REMO2015_rcp85,office,Montreal,Dfb,2085-2094,operational_adequacy,2085,2094,10,-0.9002450834561628,0.5862101454776327,0,cooling_peak_demand_kw; cooling_setpoint_not_met_occupied_hours; heating_peak_demand_kw; heating_unmet_hours,,2089.5,6
CORDEX_CMIP5_REMO2015_rcp85,office,Montreal,Dfb,2095-2100,habitability,2095,2100,6,1.9826168327929128,0.7334360145327014,0,annual_edh_c_h; daily_edh_exceedance_days; maximum_daily_edh_k_h; maximum_delta_t_k; peak_operative_temperature_c,,2097.5,7
CORDEX_CMIP5_REMO2015_rcp85,office,Montreal,Dfb,2095-2100,operational_adequacy,2095,2100,6,0.0687124791241412,0.7107537877810163,0,cooling_peak_demand_kw; cooling_setpoint_not_met_occupied_hours; heating_peak_demand_kw; heating_unmet_hours,,2097.5,7
CORDEX_CMIP5_REMO2015_rcp85,office,Phoenix,BWh,2025-2034,habitability,2025,2034,10,8.526512829121202e-15,0.7716518145939221,3,annual_edh_c_h; daily_edh_exceedance_days; maximum_daily_edh_k_h; maximum_delta_t_k; peak_operative_temperature_c,,2029.5,0
CORDEX_CMIP5_REMO2015_rcp85,office,Phoenix,BWh,2025-2034,operational_adequacy,2025,2034,10,-3.3306690738754696e-16,0.6634206874665965,0,cooling_peak_demand_kw; cooling_setpoint_not_met_occupied_hours; heating_peak_demand_kw; heating_unmet_hours,,2029.5,0
CORDEX_CMIP5_REMO2015_rcp85,office,Phoenix,BWh,2035-2044,habitability,2035,2044,10,-0.2082662677058107,0.7839956591038107,3,annual_edh_c_h; daily_edh_exceedance_days; maximum_daily_edh_k_h; maximum_delta_t_k; peak_operative_temperature_c,,2039.5,1
CORDEX_CMIP5_REMO2015_rcp85,office,Phoenix,BWh,2035-2044,operational_adequacy,2035,2044,10,-0.2009822142263756,0.6627086143651781,0,cooling_peak_demand_kw; cooling_setpoint_not_met_occupied_hours; heating_peak_demand_kw; heating_unmet_hours,,2039.5,1
CORDEX_CMIP5_REMO2015_rcp85,office,Phoenix,BWh,2045-2054,habitability,2045,2054,10,-0.0447071750488295,0.5939068580971288,3,annual_edh_c_h; daily_edh_exceedance_days; maximum_daily_edh_k_h; maximum_delta_t_k; peak_operative_temperature_c,,2049.5,2
CORDEX_CMIP5_REMO2015_rcp85,office,Phoenix,BWh,2045-2054,operational_adequacy,2045,2054,10,-0.2001791410829769,0.3936812300846101,0,cooling_peak_demand_kw; cooling_setpoint_not_met_occupied_hours; heating_peak_demand_kw; heating_unmet_hours,,2049.5,2
CORDEX_CMIP5_REMO2015_rcp85,office,Phoenix,BWh,2055-2064,habitability,2055,2064,10,-0.3270325764141291,0.7364795582105333,3,annual_edh_c_h; daily_edh_exceedance_days; maximum_daily_edh_k_h; maximum_delta_t_k; peak_operative_temperature_c,,2059.5,3
CORDEX_CMIP5_REMO2015_rcp85,office,Phoenix,BWh,2055-2064,operational_adequacy,2055,2064,10,0.2593864898617284,0.778426979348327,0,cooling_peak_demand_kw; cooling_setpoint_not_met_occupied_hours; heating_peak_demand_kw; heating_unmet_hours,,2059.5,3
CORDEX_CMIP5_REMO2015_rcp85,office,Phoenix,BWh,2065-2074,habitability,2065,2074,10,-0.4617646173189175,0.7190408682098277,3,annual_edh_c_h; daily_edh_exceedance_days; maximum_daily_edh_k_h; maximum_delta_t_k; peak_operative_temperature_c,,2069.5,4
CORDEX_CMIP5_REMO2015_rcp85,office,Phoenix,BWh,2065-2074,operational_adequacy,2065,2074,10,0.4534260062751952,0.4282485392945296,0,cooling_peak_demand_kw; cooling_setpoint_not_met_occupied_hours; heating_peak_demand_kw; heating_unmet_hours,,2069.5,4
CORDEX_CMIP5_REMO2015_rcp85,office,Phoenix,BWh,2075-2084,habitability,2075,2084,10,-0.7284548018721227,0.848979773811923,3,annual_edh_c_h; daily_edh_exceedance_days; maximum_daily_edh_k_h; maximum_delta_t_k; peak_operative_temperature_c,,2079.5,5
CORDEX_CMIP5_REMO2015_rcp85,office,Phoenix,BWh,2075-2084,operational_adequacy,2075,2084,10,1.1788393257928746,0.8338294004247799,0,cooling_peak_demand_kw; cooling_setpoint_not_met_occupied_hours; heating_peak_demand_kw; heating_unmet_hours,,2079.5,5
CORDEX_CMIP5_REMO2015_rcp85,office,Phoenix,BWh,2085-2094,habitability,2085,2094,10,-0.8906761537432496,0.6402318043109793,3,annual_edh_c_h; daily_edh_exceedance_days; maximum_daily_edh_k_h; maximum_delta_t_k; peak_operative_temperature_c,,2089.5,6
CORDEX_CMIP5_REMO2015_rcp85,office,Phoenix,BWh,2085-2094,operational_adequacy,2085,2094,10,1.8770034051707143,0.9777817926222696,0,cooling_peak_demand_kw; cooling_setpoint_not_met_occupied_hours; heating_peak_demand_kw; heating_unmet_hours,,2089.5,6
CORDEX_CMIP5_REMO2015_rcp85,office,Phoenix,BWh,2095-2100,habitability,2095,2100,6,-1.0650554642213474,0.4856424036216284,2,annual_edh_c_h; daily_edh_exceedance_days; maximum_daily_edh_k_h; maximum_delta_t_k; peak_operative_temperature_c,,2097.5,7
CORDEX_CMIP5_REMO2015_rcp85,office,Phoenix,BWh,2095-2100,operational_adequacy,2095,2100,6,2.037562742578607,1.0426015861949278,0,cooling_peak_demand_kw; cooling_setpoint_not_met_occupied_hours; heating_peak_demand_kw; heating_unmet_hours,,2097.5,7
CORDEX_CMIP5_REMO2015_rcp85,office,Toronto,Dfa,2025-2034,habitability,2025,2034,10,1.7763568394002506e-16,0.5041691310521459,0,annual_edh_c_h; daily_edh_exceedance_days; maximum_daily_edh_k_h; maximum_delta_t_k; peak_operative_temperature_c,,2029.5,0
CORDEX_CMIP5_REMO2015_rcp85,office,Toronto,Dfa,2025-2034,operational_adequacy,2025,2034,10,8.437694987151189e-16,0.433348666074287,0,cooling_peak_demand_kw; cooling_setpoint_not_met_occupied_hours; heating_peak_demand_kw; heating_unmet_hours,,2029.5,0
CORDEX_CMIP5_REMO2015_rcp85,office,Toronto,Dfa,2035-2044,habitability,2035,2044,10,-0.2145864468355595,0.9947004045915444,0,annual_edh_c_h; daily_edh_exceedance_days; maximum_daily_edh_k_h; maximum_delta_t_k; peak_operative_temperature_c,,2039.5,1
CORDEX_CMIP5_REMO2015_rcp85,office,Toronto,Dfa,2035-2044,operational_adequacy,2035,2044,10,-0.0272059443947094,0.6494873582633683,0,cooling_peak_demand_kw; cooling_setpoint_not_met_occupied_hours; heating_peak_demand_kw; heating_unmet_hours,,2039.5,1
CORDEX_CMIP5_REMO2015_rcp85,office,Toronto,Dfa,2045-2054,habitability,2045,2054,10,0.5284639738993578,1.1157819266091995,0,annual_edh_c_h; daily_edh_exceedance_days; maximum_daily_edh_k_h; maximum_delta_t_k; peak_operative_temperature_c,,2049.5,2
CORDEX_CMIP5_REMO2015_rcp85,office,Toronto,Dfa,2045-2054,operational_adequacy,2045,2054,10,0.0931211514283502,0.9658463783169404,0,cooling_peak_demand_kw; cooling_setpoint_not_met_occupied_hours; heating_peak_demand_kw; heating_unmet_hours,,2049.5,2
CORDEX_CMIP5_REMO2015_rcp85,office,Toronto,Dfa,2055-2064,habitability,2055,2064,10,0.9198537271463614,1.2136856561850735,0,annual_edh_c_h; daily_edh_exceedance_days; maximum_daily_edh_k_h; maximum_delta_t_k; peak_operative_temperature_c,,2059.5,3
CORDEX_CMIP5_REMO2015_rcp85,office,Toronto,Dfa,2055-2064,operational_adequacy,2055,2064,10,0.5034861560847534,0.9866144554524706,0,cooling_peak_demand_kw; cooling_setpoint_not_met_occupied_hours; heating_peak_demand_kw; heating_unmet_hours,,2059.5,3
CORDEX_CMIP5_REMO2015_rcp85,office,Toronto,Dfa,2065-2074,habitability,2065,2074,10,1.0644846835830788,1.17257924200606,0,annual_edh_c_h; daily_edh_exceedance_days; maximum_daily_edh_k_h; maximum_delta_t_k; peak_operative_temperature_c,,2069.5,4
CORDEX_CMIP5_REMO2015_rcp85,office,Toronto,Dfa,2065-2074,operational_adequacy,2065,2074,10,-0.1008688169330103,0.8599207253179265,0,cooling_peak_demand_kw; cooling_setpoint_not_met_occupied_hours; heating_peak_demand_kw; heating_unmet_hours,,2069.5,4
CORDEX_CMIP5_REMO2015_rcp85,office,Toronto,Dfa,2075-2084,habitability,2075,2084,10,0.3967668965336198,1.2219054664370053,0,annual_edh_c_h; daily_edh_exceedance_days; maximum_daily_edh_k_h; maximum_delta_t_k; peak_operative_temperature_c,,2079.5,5
CORDEX_CMIP5_REMO2015_rcp85,office,Toronto,Dfa,2075-2084,operational_adequacy,2075,2084,10,-0.5145596760225022,1.1121303526684452,0,cooling_peak_demand_kw; cooling_setpoint_not_met_occupied_hours; heating_peak_demand_kw; heating_unmet_hours,,2079.5,5
CORDEX_CMIP5_REMO2015_rcp85,office,Toronto,Dfa,2085-2094,habitability,2085,2094,10,1.4115687821831662,0.7424913905032114,0,annual_edh_c_h; daily_edh_exceedance_days; maximum_daily_edh_k_h; maximum_delta_t_k; peak_operative_temperature_c,,2089.5,6
CORDEX_CMIP5_REMO2015_rcp85,office,Toronto,Dfa,2085-2094,operational_adequacy,2085,2094,10,0.351716050657165,1.6916961665659431,0,cooling_peak_demand_kw; cooling_setpoint_not_met_occupied_hours; heating_peak_demand_kw; heating_unmet_hours,,2089.5,6
CORDEX_CMIP5_REMO2015_rcp85,office,Toronto,Dfa,2095-2100,habitability,2095,2100,6,1.523498284198619,0.962157721630083,0,annual_edh_c_h; daily_edh_exceedance_days; maximum_daily_edh_k_h; maximum_delta_t_k; peak_operative_temperature_c,,2097.5,7
CORDEX_CMIP5_REMO2015_rcp85,office,Toronto,Dfa,2095-2100,operational_adequacy,2095,2100,6,1.601420890219922,0.810668934940868,0,cooling_peak_demand_kw; cooling_setpoint_not_met_occupied_hours; heating_peak_demand_kw; heating_unmet_hours,,2097.5,7
CORDEX_CMIP5_REMO2015_rcp85,office,Vancouver,Cfb,2025-2034,habitability,2025,2034,10,5.551115123125783e-18,0.2635231383473649,0,annual_edh_c_h; daily_edh_exceedance_days; maximum_daily_edh_k_h; maximum_delta_t_k; peak_operative_temperature_c,,2029.5,0
CORDEX_CMIP5_REMO2015_rcp85,office,Vancouver,Cfb,2025-2034,operational_adequacy,2025,2034,10,-6.272760089132135e-16,0.3423924202344875,1,cooling_peak_demand_kw; cooling_setpoint_not_met_occupied_hours; heating_peak_demand_kw; heating_unmet_hours,,2029.5,0
