scenario,building,city,climate_type,year,metric,label,metric_value,baseline_value,delta_abs,delta_std
CORDEX_CMIP5_REMO2015_rcp85,office,Los_Angeles,Csb,2033,annual_mean_drybulb_c,Annual mean dry-bulb temperature,16.147411529680294,17.646389079147607,-1.4989775494673123,-1.845249908334179
CORDEX_CMIP5_REMO2015_rcp85,office,Los_Angeles,Csb,2033,cdd_18,Cooling degree days,331.89,685.044,-353.154,-2.3019214366926954
CORDEX_CMIP5_REMO2015_rcp85,office,Los_Angeles,Csb,2033,hdd_18,Heating degree days,1008.11,814.103,194.0070000000001,1.2564765789609929
CORDEX_CMIP5_REMO2015_rcp85,office,Los_Angeles,Csb,2033,maximum_wetbulb_c,Maximum wet-bulb temperature,26.50245258801031,26.02614497464073,0.4763076133695811,0.3715874873954948
CORDEX_CMIP5_REMO2015_rcp85,office,Los_Angeles,Csb,2033,annual_ghi_kwh_m2,Annual GHI,1793.28,1917.919,-124.6389999999999,-1.9618591730013524
CORDEX_CMIP5_REMO2015_rcp85,office,Los_Angeles,Csb,2033,heatwave_days,Heatwave days,0.0,0.0,0.0,0.0
CORDEX_CMIP5_REMO2015_rcp85,office,Los_Angeles,Csb,2034,annual_mean_drybulb_c,Annual mean dry-bulb temperature,17.507790144596544,17.646389079147607,-0.1385989345510623,-0.170616078517285
CORDEX_CMIP5_REMO2015_rcp85,office,Los_Angeles,Csb,2034,cdd_18,Cooling degree days,680.79,685.044,-4.254000000000019,-0.0277283388881076
CORDEX_CMIP5_REMO2015_rcp85,office,Los_Angeles,Csb,2034,hdd_18,Heating degree days,860.49,814.103,46.38700000000006,0.30042307271523
CORDEX_CMIP5_REMO2015_rcp85,office,Los_Angeles,Csb,2034,maximum_wetbulb_c,Maximum wet-bulb temperature,26.314813298726826,26.02614497464073,0.2886683240860961,0.2252022311358486
CORDEX_CMIP5_REMO2015_rcp85,office,Los_Angeles,Csb,2034,annual_ghi_kwh_m2,Annual GHI,1815.92,1917.919,-101.9989999999998,-1.6054980687181757
CORDEX_CMIP5_REMO2015_rcp85,office,Los_Angeles,Csb,2034,heatwave_days,Heatwave days,0.0,0.0,0.0,0.0
CORDEX_CMIP5_REMO2015_rcp85,office,Los_Angeles,Csb,2035,annual_mean_drybulb_c,Annual mean dry-bulb temperature,18.237234589040835,17.646389079147607,0.5908455098932279,0.7273341908006439
CORDEX_CMIP5_REMO2015_rcp85,office,Los_Angeles,Csb,2035,cdd_18,Cooling degree days,832.32,685.044,147.27600000000007,0.9599715181205752
CORDEX_CMIP5_REMO2015_rcp85,office,Los_Angeles,Csb,2035,hdd_18,Heating degree days,745.75,814.103,-68.35299999999995,-0.4426847670533571
CORDEX_CMIP5_REMO2015_rcp85,office,Los_Angeles,Csb,2035,maximum_wetbulb_c,Maximum wet-bulb temperature,24.70045796563822,26.02614497464073,-1.325687009002511,-1.034223873230139
CORDEX_CMIP5_REMO2015_rcp85,office,Los_Angeles,Csb,2035,annual_ghi_kwh_m2,Annual GHI,2004.9,1917.919,86.98100000000022,1.3691097708328148
CORDEX_CMIP5_REMO2015_rcp85,office,Los_Angeles,Csb,2035,heatwave_days,Heatwave days,0.0,0.0,0.0,0.0
CORDEX_CMIP5_REMO2015_rcp85,office,Los_Angeles,Csb,2036,annual_mean_drybulb_c,Annual mean dry-bulb temperature,18.197615106544934,17.646389079147607,0.5512260273973268,0.6785623819968435
CORDEX_CMIP5_REMO2015_rcp85,office,Los_Angeles,Csb,2036,cdd_18,Cooling degree days,815.28,685.044,130.236,0.8489017262415544
CORDEX_CMIP5_REMO2015_rcp85,office,Los_Angeles,Csb,2036,hdd_18,Heating degree days,742.95,814.103,-71.1529999999999,-0.4608188262424107
CORDEX_CMIP5_REMO2015_rcp85,office,Los_Angeles,Csb,2036,maximum_wetbulb_c,Maximum wet-bulb temperature,26.29998779296875,26.02614497464073,0.2738428183280206,0.21363623412178
CORDEX_CMIP5_REMO2015_rcp85,office,Los_Angeles,Csb,2036,annual_ghi_kwh_m2,Annual GHI,1954.6,1917.919,36.68100000000004,0.5773710983308815
CORDEX_CMIP5_REMO2015_rcp85,office,Los_Angeles,Csb,2036,heatwave_days,Heatwave days,0.0,0.0,0.0,0.0
CORDEX_CMIP5_REMO2015_rcp85,office,Los_Angeles,Csb,2037,annual_mean_drybulb_c,Annual mean dry-bulb temperature,17.122586567732117,17.646389079147607,-0.5238025114154894,-0.6448038774951121
CORDEX_CMIP5_REMO2015_rcp85,office,Los_Angeles,Csb,2037,cdd_18,Cooling degree days,640.39,685.044,-44.654,-0.2910628219815593
CORDEX_CMIP5_REMO2015_rcp85,office,Los_Angeles,Csb,2037,hdd_18,Heating degree days,960.92,814.103,146.817,0.9508529171283304
CORDEX_CMIP5_REMO2015_rcp85,office,Los_Angeles,Csb,2037,maximum_wetbulb_c,Maximum wet-bulb temperature,26.826453314185823,26.02614497464073,0.8003083395450936,0.6243540029297671
CORDEX_CMIP5_REMO2015_rcp85,office,Los_Angeles,Csb,2037,annual_ghi_kwh_m2,Annual GHI,1945.28,1917.919,27.361000000000104,0.430671209111837
CORDEX_CMIP5_REMO2015_rcp85,office,Los_Angeles,Csb,2037,heatwave_days,Heatwave days,0.0,0.0,0.0,0.0
CORDEX_CMIP5_REMO2015_rcp85,office,Los_Angeles,Csb,2038,annual_mean_drybulb_c,Annual mean dry-bulb temperature,18.64834760273955,17.646389079147607,1.0019585235919417,1.2334166542185403
