scenario,building,city,climate_type,decade,score_family,year_start,year_end,n_years,family_score_mean,family_score_sd,max_breached_component_count,component_metrics,interpretation_note
CORDEX_CMIP5_REMO2015_rcp85,office,Miami,Am,2065-2074,energy_burden_secondary,2065,2074,10,7.600046513235971,1.1556859356086202,0,annual_cooling_electricity_kwh,"Secondary overlay, not main resilience family"
CORDEX_CMIP5_REMO2015_rcp85,office,Miami,Am,2065-2074,habitability,2065,2074,10,-0.17370895701655334,1.0039613229174988,1,annual_edh_c_h; daily_edh_exceedance_days; maximum_daily_edh_k_h; maximum_delta_t_k,
CORDEX_CMIP5_REMO2015_rcp85,office,Miami,Am,2065-2074,operational_adequacy,2065,2074,10,1.7116205133402786,0.5253319052936398,1,cooling_peak_demand_kw; cooling_setpoint_not_met_occupied_hours; heating_unmet_hours,
CORDEX_CMIP5_REMO2015_rcp85,office,Miami,Am,2075-2084,energy_burden_secondary,2075,2084,10,8.963819809025,1.2378172172184312,0,annual_cooling_electricity_kwh,"Secondary overlay, not main resilience family"
CORDEX_CMIP5_REMO2015_rcp85,office,Miami,Am,2075-2084,habitability,2075,2084,10,0.07254354059367762,0.7845827193886244,1,annual_edh_c_h; daily_edh_exceedance_days; maximum_daily_edh_k_h; maximum_delta_t_k,
CORDEX_CMIP5_REMO2015_rcp85,office,Miami,Am,2075-2084,operational_adequacy,2075,2084,10,2.2922769749118386,0.45763786664905787,1,cooling_peak_demand_kw; cooling_setpoint_not_met_occupied_hours; heating_unmet_hours,
CORDEX_CMIP5_REMO2015_rcp85,office,Miami,Am,2085-2094,energy_burden_secondary,2085,2094,10,12.91032447319569,1.2600714133757933,0,annual_cooling_electricity_kwh,"Secondary overlay, not main resilience family"
CORDEX_CMIP5_REMO2015_rcp85,office,Miami,Am,2085-2094,habitability,2085,2094,10,-0.38303854299288426,0.7479293456984919,1,annual_edh_c_h; daily_edh_exceedance_days; maximum_daily_edh_k_h; maximum_delta_t_k,
CORDEX_CMIP5_REMO2015_rcp85,office,Miami,Am,2085-2094,operational_adequacy,2085,2094,10,2.9183340992132765,0.2759451161909396,1,cooling_peak_demand_kw; cooling_setpoint_not_met_occupied_hours; heating_unmet_hours,
CORDEX_CMIP5_REMO2015_rcp85,office,Miami,Am,2095-2100,energy_burden_secondary,2095,2100,6,13.915579700465772,1.3318542207283628,0,annual_cooling_electricity_kwh,"Secondary overlay, not main resilience family"
CORDEX_CMIP5_REMO2015_rcp85,office,Miami,Am,2095-2100,habitability,2095,2100,6,0.2796730720127547,0.7098488606103822,1,annual_edh_c_h; daily_edh_exceedance_days; maximum_daily_edh_k_h; maximum_delta_t_k,
CORDEX_CMIP5_REMO2015_rcp85,office,Miami,Am,2095-2100,operational_adequacy,2095,2100,6,3.144077949089891,0.2903662562655997,1,cooling_peak_demand_kw; cooling_setpoint_not_met_occupied_hours; heating_unmet_hours,
CORDEX_CMIP5_REMO2015_rcp85,office,Montreal,Dfb,2025-2034,energy_burden_secondary,2025,2034,10,-7.216449660063518e-16,1.0540925533894598,0,annual_cooling_electricity_kwh,"Secondary overlay, not main resilience family"
CORDEX_CMIP5_REMO2015_rcp85,office,Montreal,Dfb,2025-2034,habitability,2025,2034,10,-2.7755575615628914e-16,0.5025549018981181,0,annual_edh_c_h; daily_edh_exceedance_days; maximum_daily_edh_k_h; maximum_delta_t_k,
