role,family,subfamily,metric,label,unit,analysis_tier,source_column,optional,threshold,threshold_direction,threshold_standard,failure_relevant,interpretation,coverage_pct,baseline_value_median,mean_abs_absolute_change,mean_abs_log_ratio_change,mean_abs_standardized_change,mean_abs_temporal_slope,mean_abs_temporal_acceleration,mean_volatility_change,maximum_jump,breach_frequency_pct,failure_probability_pct,relative_stress_percentile,relative_stress_threshold,relative_stress_frequency_pct,relative_stress_use,break_year_count,sustained_failure_year_count,climate_discrimination_score,driver_response_n,driver_response_r2,driver_response_condition_number,driver_response_dominant_driver,driver_response_dominant_abs_beta,driver_response_beta_annual_mean_drybulb_c,driver_response_beta_cdd_18,driver_response_beta_hdd_18,driver_response_beta_maximum_wetbulb_c,driver_response_beta_annual_ghi_kwh_m2,driver_response_beta_heatwave_days,redundancy_max_abs_r,redundancy_scope,redundancy_flag,screening_decision_raw,screening_score,keep_drop_decision,retention_rule
response,building_responses,habitability,maximum_delta_t_k,Maximum delta_t,K,main,delta_t_max_k,False,,,,False,,100.0,0.8535999999999999,0.16755,0.17725636257081218,1.5354615263759135,0.0012181494645705172,0.00012330678046467515,0.10945659161120598,0.7417,,,90.0,0.9897,10.087719298245615,auxiliary_screening_only,0,0,0.917446769753553,456,0.893885777121598,99.21614786420552,heatwave_days,1.068706015134549,-0.3432546658035114,-0.137028251032145,0.016284164593798715,0.33547939029125456,0.9756236231838024,1.068706015134549,0.9858953368698008,same_subfamily,Yes,Review,0.436806542069216,Review,
response,building_responses,habitability,annual_edh_c_h,Annual EDH,C h,main,annual_edh_c_h,False,300.0,above,EN 16798-1 derived transition screen,True,Severe annual exceedance degree-hour burden above adaptive comfort threshold,100.0,119.75575,164.70853333333335,0.9024633091022736,3.019963393763854,1.2135274550011392,0.10314642200094831,48.94570568937922,453.11120000000005,28.07017543859649,28.07017543859649,,,,,3,2,0.8963442256016195,456,0.9078541413389977,99.21614786420552,annual_mean_drybulb_c,0.7948910748950666,0.7948910748950666,0.6345987323862654,0.6749959458015466,0.2129932862395851,0.266808114658972,-0.32177050671672464,0.6455833549379041,same_subfamily,No,Keep,0.6307926108055718,Keep,
response,building_responses,habitability,maximum_daily_edh_k_h,Maximum daily EDH,K h,main,daily_edh_max_k_h,False,12.0,above,CIBSE TM52-derived transition screen,True,Severe maximum daily exceedance degree-hour burden,100.0,6.73185,1.8811333333333333,0.21844422432021937,0.7205573503943895,0.021694875825928456,0.0024188838311996206,2.415040700352409,10.5735,22.36842105263158,22.36842105263158,,,,,3,1,0.8498206766809415,456,0.8185755228636464,99.21614786420552,heatwave_days,1.2774896559066107,-0.1710766492182906,-0.33397070006133045,-0.11761538934440856,0.2690766937575086,0.6219773667223505,1.2774896559066107,0.7971314928999251,same_subfamily,No,Review,0.549013838722952,Review,
response,building_responses,habitability,daily_edh_exceedance_days,Daily EDH exceedance days,days,main,daily_edh_exceed_6kh_count,False,15.0,above,TM52-derived transition screen,True,Annual count of days with severe daily EDH exceedance,100.0,1.0,2.1666666666666665,1.0235861405555253,1.662519273915425,0.0242492595124174,0.0015884305357989573,1.847350148158869,12.0,6.359649122807017,6.359649122807017,,,,,1,0,0.8976687261301317,456,0.8818652861161123,99.21614786420552,heatwave_days,1.168135518536468,-0.14219417911632232,-0.4027386139345801,-0.3196429428043733,0.16409961807523354,0.10479510764457367,1.168135518536468,0.7966619230579368,same_subfamily,No,Review,0.47494680465225,Review,
response,building_responses,operational_adequacy,cooling_setpoint_not_met_occupied_hours,Cooling setpoint not met occupied hours,h,main,facility_cooling_setpoint_not_met_occupied_time_total_hours,False,500.0,above,ASHRAE 90.1-derived transition screen,True,Severe occupied cooling unmet load hours,100.0,114.3333333333344,372.61111111114445,1.2308419363867125,3.7770349023564735,3.445804283436518,0.1315149359885889,55.21641090106979,777.3333333332523,19.517543859649123,19.517543859649123,,,,,2,2,0.9129730439428099,456,0.9603815432926788,99.21614786420552,heatwave_days,1.047893394123989,0.917461084906141,0.7315326462658335,0.4698299399060409,0.063667556273188,0.031001730830535944,-1.047893394123989,0.737053210239473,same_subfamily,No,Review,0.5771469443564962,Keep,Core operational adequacy trigger
response,building_responses,operational_adequacy,heating_unmet_hours,Heating unmet hours,h,main,abups_occupied_heating_not_met_hours,False,400.0,above,ASHRAE 90.1-derived transition screen,True,Severe occupied heating unmet load hours; cold-climate operational adequacy trigger,99.78070175438596,169.665,73.97166666666668,0.6201943256522062,2.2090334273718835,1.1317459385564648,0.014353915703735459,24.634763151725476,151.67000000000002,0.43956043956043955,0.43956043956043955,,,,,1,0,0.9026216716565638,455,0.9715754099335012,70546.34564035301,hdd_18,0.8919118457164102,-0.24644305571228287,0.4302114681444358,0.8919118457164102,-0.13767725792991808,-0.11830976447062942,-0.2400862535925174,0.8515463154217296,same_subfamily,No,Drop,0.2741233515167617,Keep,Standard-threshold cold-climate operational adequacy trigger
response,building_responses,operational_adequacy,cooling_peak_demand_kw,Cooling peak demand,kW,main,cooling_electricity_peak_kw,False,,,,False,Operational peak demand diagnostic,99.78070175438596,75.61260999999999,8.68082,0.19153070033853395,1.843831445877256,0.17119753244905878,0.004781657256896407,5.021268724403126,19.137169999999998,,,90.0,91.80687600000002,10.10989010989011,auxiliary_screening_only,0,0,0.9458796950396235,455,0.970390678174157,70546.34564035301,annual_ghi_kwh_m2,0.643037997572478,0.01228289494024143,0.610109807848086,0.5846560400270742,0.35592389888467496,0.643037997572478,0.3665389019014711,0.5544972043930341,same_subfamily,No,Drop,0.3405098369906649,Priority Review,Peak demand is core operational adequacy evidence
response,building_responses,operational_adequacy,heating_peak_demand_kw,Heating peak demand,kW,main,heating_electricity_peak_kw,False,,,,False,Heating peak demand diagnostic; cold-climate supplementary adequacy,99.78070175438596,200.75351999999998,56.893640000000005,0.6764066878651782,2.024957289898816,0.42634184216868953,0.039153284500217614,25.031033050991123,157.78735,,,90.0,219.79245600000002,10.10989010989011,auxiliary_screening_only,0,0,0.9042216039159636,455,0.8999296701492334,70546.34564035301,hdd_18,0.6177018452501774,-0.3113138471957157,0.035223494350799266,0.6177018452501774,0.04291572424336111,-0.39229906970769424,0.04652660378766857,0.8515463154217296,same_subfamily,No,Drop,0.2851577759101542,Review,Cold-climate peak demand supplementary diagnostic
response,building_responses,energy_burden,annual_cooling_electricity_kwh,Annual cooling electricity,kWh,supporting,cooling_electricity_annual_kwh,False,,,,False,,99.78070175438596,45265.277777781404,45551.388888892536,0.6944542205297276,3.4301868304596628,569.0582930846543,6.683730233478435,8145.517072785703,38200.00000000304,,,90.0,233205.55555557422,10.10989010989011,auxiliary_screening_only,0,0,0.9642190316314885,455,0.9944557939063946,70546.34564035301,cdd_18,1.0331625797444277,0.42174087602070204,1.0331625797444277,0.23590870680207615,0.03229127942347302,0.11710873373205276,-0.6480423084425847,0.726650033610594,same_subfamily,No,Review,0.48493356672063676,Review,
response,building_responses,energy_burden,annual_heating_electricity_kwh,Annual heating electricity,kWh,supporting,heating_electricity_annual_kwh,False,,,,False,,99.78070175438596,33870.83333333604,15762.037037038297,1.2134965863486296,2.6592487576281263,223.5238658001994,3.6267747560108066,4619.859384922351,26161.111111113198,,,90.0,65886.11111111638,10.10989010989011,auxiliary_screening_only,0,0,0.91910548280563,455,0.9741774584956853,70546.34564035301,hdd_18,0.756091296507239,-0.20173729502195287,0.3782493611960079,0.756091296507239,-0.16670300549933145,-0.35626156743759396,-0.39431519790077924,0.726650033610594,same_subfamily,No,Drop,0.34902339181280195,Drop,
