climate_type,role,family,subfamily,metric,label,unit,analysis_tier,source_column,optional,threshold,threshold_direction,threshold_standard,failure_relevant,interpretation,coverage_pct,baseline_value_median,mean_abs_absolute_change,mean_abs_log_ratio_change,mean_abs_standardized_change,mean_abs_temporal_slope,mean_abs_temporal_acceleration,mean_volatility_change,maximum_jump,breach_frequency_pct,failure_probability_pct,relative_stress_percentile,relative_stress_threshold,relative_stress_frequency_pct,relative_stress_use,break_year_count,sustained_failure_year_count,climate_discrimination_score,driver_response_n,driver_response_r2,driver_response_condition_number,driver_response_dominant_driver,driver_response_dominant_abs_beta,driver_response_beta_annual_mean_drybulb_c,driver_response_beta_cdd_18,driver_response_beta_hdd_18,driver_response_beta_maximum_wetbulb_c,driver_response_beta_annual_ghi_kwh_m2,driver_response_beta_heatwave_days,redundancy_max_abs_r,redundancy_scope,redundancy_flag,screening_weight_set,screening_normalization_group,screening_rank_within_role,screening_top_k,screening_review_k,screening_component_coverage,screening_component_slope,screening_component_breach,screening_component_discrimination,screening_component_volatility,screening_component_uniqueness,screening_decision_raw,screening_score,keep_drop_decision,screening_selected_for_analysis,retention_rule
Cfb,response,building_responses,habitability,peak_operative_temperature_c,Peak operative temperature,C,main,rep_zone_operative_temp_c_max,False,,,,False,,100.0,25.484121826178463,0.531807109667529,0.02065341706639685,2.359305938989402,0.006879081180743829,0.00013312423964447964,0.21182313650039486,0.7225798952672307,,,90.0,26.119456199632623,10.526315789473685,auxiliary_screening_only,0,0,,76,0.8316520637559628,12134.63870871593,cdd_18,0.741175847641772,0.06899634919430425,0.741175847641772,0.12437352367544423,0.24043775581367574,,,0.737624869807488,same_subfamily,No,base,response,5,6,4,1.0,1.3324982531405824e-05,0.7767337681027142,0.0,0.9999772311697935,0.24865268899001858,Keep,0.42467826827027727,Keep,Yes,
Cfb,response,building_responses,habitability,maximum_delta_t_k,Maximum delta_t,K,main,delta_t_max_k,False,,,,False,,100.0,0.0,0.0159,,0.21590695960471834,0.0013073561175666439,5.0005689900426636e-05,0.0963767993658225,0.32,,,90.0,0.1195,10.526315789473685,auxiliary_screening_only,0,0,,76,0.4130265234395363,12134.63870871593,cdd_18,0.7182526834078599,-0.030200905040369114,0.7182526834078599,0.24126797426307395,0.14944561172867737,,,0.9817362210506252,same_subfamily,Yes,base,response,10,6,4,1.0,2.5323872434688155e-06,0.07108116989914748,0.0,0.9999896404754606,0.0,Review,0.27279418240233105,Review,No,
Cfb,response,building_responses,habitability,annual_edh_c_h,Annual EDH,C h,main,annual_edh_c_h,False,300.0,above,EN 16798-1 derived transition screen,True,Severe annual exceedance degree-hour burden above adaptive comfort threshold,100.0,0.0,0.009,,0.013113784643535194,0.009882415584415582,0.0004541877667140823,0.9065418563603854,3.7004,0.0,0.0,,,,,0,0,,76,0.2616283011874778,12134.63870871593,cdd_18,0.4793125433093533,-0.04461922411971474,0.4793125433093533,0.19191617335826427,0.24551950139889175,,,0.9709962032454712,same_subfamily,Yes,base,response,11,6,4,1.0,1.914252958651544e-05,0.0,0.0,0.9999025559816387,0.010939820264205369,Drop,0.2610888318316852,Drop,No,
Cfb,response,building_responses,habitability,maximum_daily_edh_k_h,Maximum daily EDH,K h,main,daily_edh_max_k_h,False,12.0,above,CIBSE TM52-derived transition screen,True,Severe maximum daily exceedance degree-hour burden,100.0,0.0,0.009,,0.034508720175240815,0.004213111414900888,0.00020299004267425303,0.34415367807613695,1.2138,0.0,0.0,,,,,0,0,,76,0.33589666184381617,12134.63870871593,cdd_18,0.6115366394501105,-0.028290136639329177,0.6115366394501105,0.20903095158979804,0.1726977511671256,,,0.9817362210506252,same_subfamily,Yes,base,response,12,6,4,1.0,8.160920700219223e-06,0.0,0.0,0.9999630069840788,0.0,Drop,0.2599982593193759,Drop,No,
Cfb,response,building_responses,habitability,daily_edh_exceedance_days,Daily EDH exceedance days,days,main,daily_edh_exceed_6kh_count,False,15.0,above,TM52-derived transition screen,True,Annual count of days with severe daily EDH exceedance,100.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0,0,,,,,,,,,,,,,0.0,same_subfamily,No,base,response,9,6,4,1.0,0.0,0.0,0.0,1.0,1.0,Review,0.36,Review,No,
Cfb,response,building_responses,operational_adequacy,cooling_setpoint_not_met_occupied_hours,Cooling setpoint not met occupied hours,h,main,facility_cooling_setpoint_not_met_occupied_time_total_hours,False,500.0,above,ASHRAE 90.1-derived transition screen,True,Severe occupied cooling unmet load hours,100.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0,0,,,,,,,,,,,,,0.0,same_subfamily,No,base,response,8,6,4,1.0,0.0,0.0,0.0,1.0,1.0,Review,0.36,Keep,Yes,Core operational adequacy trigger
Cfb,response,building_responses,operational_adequacy,heating_unmet_hours,Heating unmet hours,h,main,abups_occupied_heating_not_met_hours,False,400.0,above,ASHRAE 90.1-derived transition screen,True,Severe occupied heating unmet load hours; cold-climate operational adequacy trigger,100.0,357.67,207.00000000000003,0.8645187587704561,2.3385931079097886,3.2286274777853725,0.05705661450924608,58.830185517300556,151.67000000000002,2.6315789473684212,2.6315789473684212,,,,,1,0,,76,0.9695655424871971,12134.63870871593,hdd_18,0.6363277661366906,-0.4688525919077795,0.18908159860111812,0.6363277661366906,-0.035360677683618724,,,0.7221594370556741,same_subfamily,No,base,response,3,6,4,1.0,0.006253946364571768,0.866371841849727,0.0,0.9936763541169914,0.2644058336944721,Keep,0.44325609744159444,Keep,Yes,Standard-threshold cold-climate operational adequacy trigger
Cfb,response,building_responses,operational_adequacy,cooling_peak_demand_kw,Cooling peak demand,kW,main,cooling_electricity_peak_kw,False,,,,False,Operational peak demand diagnostic,100.0,12.3118,10.94231,0.6359237385140493,1.8016392815422906,0.20683451059466845,0.004822056614509243,5.440269600050619,14.03621,,,90.0,27.971435,10.526315789473685,auxiliary_screening_only,0,0,,76,0.8715519049651589,12134.63870871593,maximum_wetbulb_c,0.5727795002930163,0.022395473517305302,0.4776651634362094,0.10931928827534931,0.5727795002930163,,,0.7221594370556741,same_subfamily,No,base,response,7,6,4,1.0,0.00040064452913867474,0.593138026225473,0.0,0.9994152264155499,0.2644058336944721,Review,0.3932431054185806,Priority Review,Yes,Peak demand is core operational adequacy evidence
Cfb,response,building_responses,operational_adequacy,heating_peak_demand_kw,Heating peak demand,kW,main,heating_electricity_peak_kw,False,,,,False,Heating peak demand diagnostic; cold-climate supplementary adequacy,100.0,219.80964,8.958339999999993,0.041608753366485604,1.3693877476186662,0.11161899917976757,0.022317812517780956,8.95744173606226,28.057729999999992,,,90.0,212.429505,10.526315789473685,auxiliary_screening_only,0,0,,76,0.1852014158558397,12134.63870871593,hdd_18,0.3207887172767399,-0.23960840460320515,0.1261124394850616,0.3207887172767399,0.04324526231589245,,,0.42671552858416073,same_subfamily,No,base,response,6,6,4,1.0,0.00021620928364775907,0.4508316143421165,0.0,0.9990371662258335,0.5653460477117751,Keep,0.3976399022034173,Keep,Yes,Cold-climate peak demand supplementary diagnostic
Cfb,response,building_responses,energy_burden,annual_cooling_electricity_kwh,Annual cooling electricity,kWh,supporting,cooling_electricity_annual_kwh,False,,,,False,,100.0,5611.11111111156,13550.000000001084,1.228134003101536,3.0374705412284984,177.53561935142307,2.0113007744588307,2574.5852053146205,8291.66666666733,,,90.0,19905.555555557152,10.526315789473685,auxiliary_screening_only,0,0,,76,0.9802831060523397,12134.63870871593,cdd_18,0.6386135335488243,0.20734513084507988,0.6386135335488243,-0.07635205151245826,0.10441149369943081,,,0.8399750169724526,same_subfamily,No,base,response,2,6,4,1.0,0.3438917152456441,1.0,0.0,0.723258307093817,0.14439846573702242,Keep,0.5092996889420385,Keep,Yes,
