city,metric,slope_per_year,normalized_slope,r2,p_value,mean,std,abs_norm_slope
Los_Angeles,fans_electricity_annual_gj,0.503587,0.00435516,0.619731,3.386e-17,115.63,14.0332,0.00435516
Vancouver,rep_zone_sensible_heating_rate_mean_kw,-4.55733e-05,-0.00415425,0.108446,0.00367502,0.0109703,0.00303591,0.00415425
Vancouver,rep_zone_sensible_heating_energy_total_kwh,-0.399222,-0.00415425,0.108446,0.00367502,96.0996,26.5945,0.00415425
Toronto,rep_zone_sensible_heating_rate_mean_kw,-3.86291e-05,-0.00405582,0.0883779,0.0091084,0.00952436,0.00285055,0.00405582
Toronto,rep_zone_sensible_heating_energy_total_kwh,-0.338391,-0.00405582,0.0883779,0.0091084,83.4334,24.9708,0.00405582
Vancouver,abups_time_not_comfortable_simple_ashrae55_hours,-11.3358,-0.00391187,0.490776,1.86338e-12,2897.81,354.975,0.00391187
Vancouver,outdoor_drybulb_c_mean,0.0494235,0.00385195,0.733583,5.98222e-23,12.8308,1.26589,0.00385195
Vancouver,electricity_hvac_annual_gj,-1.19031,-0.00383363,0.479394,4.26933e-12,310.491,37.7137,0.00383363
Vancouver,electricity_hvac_annual_kwh,-330.641,-0.00383363,0.479394,4.26933e-12,86247.5,10476,0.00383363
Vancouver,facility_hvac_electricity_demand_rate_mean_kw,-0.0377442,-0.0038318,0.47938,4.27356e-12,9.85025,1.1959,0.0038318
Phoenix,cooling_electricity_peak_w,298.145,0.00374209,0.569498,3.47513e-15,79673.3,8666.96,0.00374209
Phoenix,cooling_electricity_peak_kw,0.298145,0.00374209,0.569498,3.47513e-15,79.6733,8.66696,0.00374209
Phoenix,daily_edh_exceed_6kh_count,-0.0541763,-0.00367297,0.16767,0.000239729,14.75,2.90247,0.00367297
Phoenix,annual_edh_c_h,-1.07763,-0.0035517,0.220617,1.86431e-05,303.413,50.3311,0.0035517
Toronto,outdoor_drybulb_c_mean,0.0377465,0.00346475,0.747448,8.20572e-24,10.8944,0.957792,0.00346475
Miami,outdoor_drybulb_c_min,0.0380041,0.00343438,0.184582,0.000107507,11.0658,1.94053,0.00343438
Toronto,daily_edh_max_k_h,0.0234597,0.00323305,0.0897478,0.00856193,7.2562,1.71789,0.00323305
Miami,facility_hvac_electricity_demand_rate_max_kw,0.348351,0.00314626,0.730175,9.59554e-23,110.719,8.94313,0.00314626
Miami,fans_electricity_annual_gj,0.343477,0.00304393,0.881145,1.71236e-35,112.84,7.92147,0.00304393
Miami,fans_electricity_annual_kwh,95.4102,0.00304393,0.881145,1.71236e-35,31344.4,2200.41,0.00304393
Miami,electricity_hvac_peak_kw,0.330841,0.0029778,0.738336,6.02999e-23,111.103,8.33537,0.0029778
Miami,electricity_hvac_peak_w,330.841,0.0029778,0.738336,6.02999e-23,111103,8335.37,0.0029778
Phoenix,fans_electricity_annual_gj,0.274253,0.00297761,0.794242,4.06106e-27,92.1051,6.75088,0.00297761
Phoenix,fans_electricity_annual_kwh,76.1814,0.00297761,0.794242,4.06106e-27,25584.8,1875.24,0.00297761
Los_Angeles,outdoor_wetbulb_c_mean,0.0449155,0.0029773,0.749047,6.48118e-24,15.086,1.13848,0.0029773
Miami,facility_purchased_electricity_energy_total_kwh,1626.34,0.0029467,0.405119,6.42605e-10,551919,56053.8,0.0029467
Vancouver,rep_zone_sensible_cooling_rate_mean_kw,0.0116933,0.0025317,0.750274,5.4018e-24,4.61875,0.29615,0.0025317
Vancouver,rep_zone_sensible_cooling_energy_total_kwh,102.433,0.0025317,0.750274,5.4018e-24,40460.2,2594.28,0.0025317
Vancouver,rep_zone_rh_pct_min,0.0345211,0.00247354,0.0769801,0.0152437,13.9561,2.72949,0.00247354
Miami,rep_zone_humidity_ratio_min,1.15587e-05,0.00244828,0.168996,0.000225207,0.00472115,0.000616815,0.00244828
Miami,cooling_electricity_peak_kw,0.226239,0.00244103,0.795448,7.26724e-27,92.682,5.49154,0.00244103
Miami,cooling_electricity_peak_w,226.239,0.00244103,0.795448,7.26724e-27,92682,5491.54,0.00244103
Miami,facility_purchased_electricity_rate_mean_kw,0.149033,0.00234792,0.875165,3.61783e-35,63.4744,3.4948,0.00234792
Miami,facility_total_electricity_demand_rate_mean_kw,0.149033,0.00234792,0.875165,3.61783e-35,63.4744,3.4948,0.00234792
Vancouver,rep_zone_humidity_ratio_min,5.37841e-06,0.00229899,0.0547294,0.0419529,0.00233947,0.000504346,0.00229899
Vancouver,rep_zone_humidity_ratio_mean,1.73391e-05,0.00226441,0.711679,1.12934e-21,0.00765722,0.000450888,0.00226441
Phoenix,rep_zone_mean_radiant_temp_c_min,0.047372,0.00225686,0.241856,6.43434e-06,20.9903,2.11315,0.00225686
Phoenix,rep_zone_humidity_ratio_min,3.51783e-06,0.00223579,0.0407507,0.0803377,0.00157342,0.00038229,0.00223579
Los_Angeles,outdoor_drybulb_c_mean,0.0425397,0.00222558,0.613902,5.97139e-17,19.114,1.19105,0.00222558
Miami,electricity_facility_annual_gj,4.44923,0.00221667,0.922396,2.92887e-42,2007.17,100.29,0.00221667
Miami,electricity_facility_annual_kwh,1235.9,0.00221667,0.922396,2.92887e-42,557547,27858.4,0.00221667
Vancouver,outdoor_wetbulb_c_max,0.0462489,0.0022131,0.627757,1.52838e-17,20.8978,1.28053,0.0022131
Phoenix,outdoor_drybulb_c_mean,0.0589998,0.00219729,0.804181,6.46271e-28,26.8511,1.44331,0.00219729
Montreal,rep_zone_humidity_ratio_max,3.03039e-05,0.00217488,0.411565,4.26249e-10,0.0139336,0.00103625,0.00217488
Montreal,daily_edh_max_k_h,0.0168632,0.00216702,0.0316339,0.124262,7.78172,2.07993,0.00216702
Phoenix,facility_purchased_electricity_energy_peak_timestep_kwh,-0.0682063,-0.00216503,0.0945876,0.00688055,31.5036,4.86511,0.00216503
